ts_code,trade_date,open,high,low,close,vol,amount,pre_close,change,pct_chg
002466.SZ,20250704,33.03,33.2,32.3,32.37,305767.87,995323.478,33.33,-0.96,-2.8803
002466.SZ,20250707,32.38,32.38,32.08,32.2,130745.47,420770.582,32.37,-0.17,-0.5252
002466.SZ,20250708,32.22,33.75,32.22,33.4,458778.42,1521053.398,32.2,1.2,3.7267
002466.SZ,20250709,33.5,33.67,33.09,33.18,258701.58,862114.758,33.4,-0.22,-0.6587
002466.SZ,20250710,33.03,33.62,32.97,33.42,228813.7,762707.998,33.18,0.24,0.7233
002466.SZ,20250711,33.65,34.1,33.15,33.26,412079.28,1386299.726,33.42,-0.16,-0.4788
002466.SZ,20250714,34.43,35.75,34.11,34.23,608521.18,2117810.815,33.26,0.97,2.9164
002466.SZ,20250715,34.03,34.23,33.21,33.88,480850.54,1621202.191,34.23,-0.35,-1.0225
002466.SZ,20250716,33.62,33.86,32.91,33.04,337193.72,1119773.686,33.88,-0.84,-2.4793
002466.SZ,20250717,33.2,34.5,32.87,34.25,550771.44,1865813.705,33.04,1.21,3.6622
002466.SZ,20250718,34.67,36.17,34.66,36.0,817623.72,2910998.588,34.25,1.75,5.1095
002466.SZ,20250721,36.18,36.35,35.61,35.9,444576.15,1595891.955,36.0,-0.1,-0.2778
002466.SZ,20250722,35.99,37.16,35.66,36.86,674528.65,2463174.481,35.9,0.96,2.6741
002466.SZ,20250723,37.4,38.04,36.5,36.63,770840.49,2870011.247,36.86,-0.23,-0.624
002466.SZ,20250724,36.12,40.29,36.06,40.29,1167721.1,4540828.886,36.63,3.66,9.9918
002466.SZ,20250725,41.05,42.94,40.91,41.89,1385851.13,5778159.466,40.29,1.6,3.9712
002466.SZ,20250728,40.81,41.84,40.04,40.74,896287.6,3664104.089,41.89,-1.15,-2.7453
002466.SZ,20250729,40.04,41.23,40.04,40.4,623873.07,2527688.843,40.74,-0.34,-0.8346
002466.SZ,20250730,40.83,41.14,39.43,39.88,661251.8,2665179.545,40.4,-0.52,-1.2871
002466.SZ,20250731,39.36,39.58,38.0,38.23,712288.91,2752734.946,39.88,-1.65,-4.1374
002466.SZ,20250801,38.28,38.75,38.0,38.25,381599.14,1462161.811,38.23,0.02,0.0523
002466.SZ,20250804,38.25,38.35,37.58,38.09,303691.33,1152453.704,38.25,-0.16,-0.4183
002466.SZ,20250805,38.1,38.3,37.79,38.07,299826.77,1139791.864,38.09,-0.02,-0.0525
002466.SZ,20250806,37.9,38.17,37.71,38.16,347555.97,1318719.863,38.07,0.09,0.2364
002466.SZ,20250807,38.51,40.03,37.6,39.54,803977.83,3123093.305,38.16,1.38,3.6164
002466.SZ,20250808,39.48,41.34,39.11,40.83,822205.64,3319537.53,39.54,1.29,3.2625
002466.SZ,20250811,44.85,44.91,42.88,44.91,840141.81,3720420.988,40.83,4.08,9.9927
002466.SZ,20250812,44.9,47.1,43.37,45.88,1540965.64,6913562.975,44.91,0.97,2.1599
002466.SZ,20250813,44.92,45.47,44.1,44.74,994336.51,4442587.553,45.88,-1.14,-2.4847
002466.SZ,20250814,44.76,45.2,42.96,43.03,787528.36,3449548.829,44.74,-1.71,-3.8221
002466.SZ,20250815,43.05,43.99,43.01,43.77,537976.06,2347840.793,43.03,0.74,1.7197
002466.SZ,20250818,44.9,45.37,44.0,44.46,698100.59,3112706.744,43.77,0.69,1.5764
002466.SZ,20250819,43.9,44.9,43.6,43.88,553553.71,2440269.619,44.46,-0.58,-1.3045
002466.SZ,20250820,42.88,43.42,42.01,43.04,699700.94,2984410.465,43.88,-0.84,-1.9143
002466.SZ,20250821,42.86,43.41,42.5,42.64,393509.05,1687890.872,43.04,-0.4,-0.9294
002466.SZ,20250822,42.19,43.28,42.04,43.1,471423.9,2021281.424,42.64,0.46,1.0788
002466.SZ,20250825,43.2,44.46,43.18,43.84,698863.86,3063350.46,43.1,0.74,1.7169
002466.SZ,20250826,43.84,44.56,43.2,43.91,527900.08,2322597.146,43.84,0.07,0.1597
002466.SZ,20250827,44.46,44.88,42.75,42.77,676366.62,2964121.471,43.91,-1.14,-2.5962
002466.SZ,20250828,41.88,42.8,41.3,42.8,584269.71,2463497.926,42.77,0.03,0.0701
002466.SZ,20250829,42.8,44.6,42.8,43.96,699051.61,3068596.146,42.8,1.16,2.7103
002466.SZ,20250901,43.99,44.19,43.08,43.86,513271.69,2240637.833,43.96,-0.1,-0.2275
