ts_code,trade_date,open,close,high,low,vol,amount,pct_chg,change
09696.HK,20250704,29.85,28.9,29.85,28.45,2150700.0,61969900.0,-2.86,-0.85
09696.HK,20250707,28.8,28.9,29.05,28.35,990280.0,28447902.0,0.0,0.0
09696.HK,20250708,29.15,30.75,31.0,28.95,4454700.0,134935915.0,6.4,1.85
09696.HK,20250709,30.8,30.05,31.2,30.0,2061800.0,62923654.0,-2.28,-0.7
09696.HK,20250710,30.0,30.2,30.7,29.65,2022600.0,60966050.0,0.5,0.15
09696.HK,20250711,30.4,29.9,31.35,29.7,3631100.0,110867097.0,-0.99,-0.3
09696.HK,20250714,30.0,30.7,32.4,30.0,6359600.0,199908750.0,2.68,0.8
09696.HK,20250715,31.4,30.4,31.4,29.7,4927800.0,149703917.0,-0.98,-0.3
09696.HK,20250716,30.65,29.65,30.65,29.4,2857000.0,85367460.0,-2.47,-0.75
09696.HK,20250717,29.65,30.95,31.35,29.4,5911800.0,180294910.0,4.38,1.3
09696.HK,20250718,31.8,32.75,33.2,31.65,10215480.0,331016640.0,5.82,1.8
09696.HK,20250721,33.05,33.45,33.85,32.45,4630200.0,153548949.0,2.14,0.7
09696.HK,20250722,33.65,35.75,36.3,33.3,9472600.0,332135264.0,6.88,2.3
09696.HK,20250723,35.9,34.75,36.75,34.45,6809400.0,241524464.0,-2.8,-1.0
09696.HK,20250724,34.6,39.65,41.5,34.0,26871996.0,1040452944.0,14.1,4.9
09696.HK,20250725,40.6,40.2,43.1,39.9,19834217.0,815788720.0,1.39,0.55
09696.HK,20250728,38.85,37.7,39.9,37.45,12940100.0,498619328.0,-6.22,-2.5
09696.HK,20250729,37.0,38.0,38.7,36.95,6689400.0,252838895.0,0.8,0.3
09696.HK,20250730,39.15,36.45,39.55,36.05,9382054.0,350301472.0,-4.08,-1.55
09696.HK,20250731,36.0,35.25,36.0,34.6,7425609.0,261984940.0,-3.29,-1.2
09696.HK,20250801,35.5,35.45,36.4,35.35,4983170.0,178346014.0,0.57,0.2
09696.HK,20250804,35.0,35.96,36.4,34.82,2539300.0,91046782.0,1.44,0.51
09696.HK,20250805,36.0,36.1,36.4,35.82,2631200.0,95146776.0,0.39,0.14
09696.HK,20250806,36.04,36.96,37.16,35.5,3709161.0,134768249.0,2.38,0.86
09696.HK,20250807,37.42,39.76,40.0,36.1,10997800.0,423423168.0,7.58,2.8
09696.HK,20250808,39.98,41.02,42.46,39.28,11635300.0,478636864.0,3.17,1.26
09696.HK,20250811,47.16,48.48,48.8,44.26,28290212.0,1332193792.0,18.19,7.46
09696.HK,20250812,49.5,45.78,49.5,44.08,25214465.0,1164556784.0,-5.57,-2.7
09696.HK,20250813,45.3,45.0,46.98,44.62,8969090.0,408174800.0,-1.7,-0.78
09696.HK,20250814,45.52,44.0,45.8,43.42,5709518.0,253871525.0,-2.22,-1.0
09696.HK,20250815,43.98,45.38,45.58,43.7,6223947.0,279048720.0,3.14,1.38
09696.HK,20250818,46.52,44.84,47.5,44.84,5451402.0,251138864.0,-1.19,-0.54
09696.HK,20250819,44.64,43.88,45.84,43.6,5166300.0,230825640.0,-2.14,-0.96
09696.HK,20250820,42.56,42.12,43.3,41.0,7273000.0,304626000.0,-4.01,-1.76
09696.HK,20250821,42.0,41.62,42.56,41.3,3361321.0,140860216.0,-1.19,-0.5
09696.HK,20250822,41.62,42.08,42.62,41.2,4807200.0,201928066.0,1.11,0.46
09696.HK,20250825,42.88,42.16,43.28,41.44,6451300.0,272755184.0,0.19,0.08
09696.HK,20250826,42.16,41.64,42.92,41.38,3899194.0,164580706.0,-1.23,-0.52
09696.HK,20250827,42.32,40.86,43.0,40.54,6122900.0,255898490.0,-1.87,-0.78
09696.HK,20250828,40.58,39.92,41.46,39.14,6444718.0,257870550.0,-2.3,-0.94
09696.HK,20250829,40.0,40.66,41.74,39.52,13188200.0,534985296.0,1.85,0.74
09696.HK,20250901,41.0,39.98,41.0,39.1,6058600.0,241761162.0,-1.67,-0.68
09696.HK,20250902,40.1,38.86,40.68,38.18,5323600.0,208633054.0,-2.8,-1.12
09696.HK,20250903,38.7,38.26,40.0,37.92,4603400.0,179575824.0,-1.54,-0.6
09696.HK,20250904,38.6,39.32,39.92,38.26,8392630.0,329544304.0,2.77,1.06
09696.HK,20250905,39.8,44.56,44.72,39.52,18154200.0,773778480.0,13.33,5.24
09696.HK,20250908,45.5,45.28,46.66,43.38,15594425.0,705560256.0,1.62,0.72
09696.HK,20250909,46.02,43.42,46.02,43.18,7861318.0,347158704.0,-4.11,-1.86
09696.HK,20250910,40.0,39.96,41.0,39.56,10463500.0,419911088.0,-7.97,-3.46
09696.HK,20250911,40.0,40.14,40.4,39.5,3678700.0,147094056.0,0.45,0.18
09696.HK,20250912,40.5,39.8,40.86,39.58,3730000.0,149801378.0,-0.85,-0.34
09696.HK,20250915,40.18,40.74,42.02,40.0,5808662.0,239075280.0,2.36,0.94
09696.HK,20250916,41.7,39.88,41.7,39.66,4046000.0,162414158.0,-2.11,-0.86
09696.HK,20250917,39.88,40.26,40.8,39.2,4362500.0,174798780.0,0.95,0.38
09696.HK,20250918,40.3,39.32,40.36,38.74,3679287.0,145781166.0,-2.33,-0.94
09696.HK,20250919,39.68,41.22,43.0,39.6,11486360.0,476127344.0,4.83,1.9
09696.HK,20250922,41.22,40.48,41.3,39.62,4287160.0,172369011.0,-1.8,-0.74
09696.HK,20250923,40.48,39.2,41.2,38.62,3956140.0,156637901.0,-3.16,-1.28
09696.HK,20250924,39.66,39.4,40.8,38.68,4619000.0,183102444.0,0.51,0.2
09696.HK,20250925,39.6,40.04,41.3,39.6,5937280.0,240316570.0,1.62,0.64
09696.HK,20250926,39.9,40.26,41.56,39.7,5294200.0,215407266.0,0.55,0.22
09696.HK,20250929,41.22,42.6,42.88,41.22,7853800.0,331735856.0,5.81,2.34
09696.HK,20250930,42.88,44.94,45.78,42.58,9474500.0,421484784.0,5.49,2.34
